eoq,H+1,H+2,H+T,H+S,H+AS,Fe10+1,Fe10+2,Fe10+T,Fe10+S,Fe10+AS,Fe12+1,Fe12+2,Fe12+T,Fe12+S,Fe12+AS,Fe8+1,Fe8+2,Fe8+T,Fe8+S,Fe8+AS,He+1,He+2,He+T,He+S,He+AS,He2+1,He2+2,He2+T,He2+S,He2+AS,C4+1,C4+2,C4+T,C4+S,C4+AS,C5+1,C5+2,C5+T,C5+S,C5+AS,C6+1,C6+2,C6+T,C6+S,C6+AS,O6+1,O6+2,O6+T,O6+S,O6+AS,Si7+1,Si7+2,Si7+T,Si7+S,Si7+AS,Si8+1,Si8+2,Si8+T,Si8+S,Si8+AS,Fe9+1,Fe9+2,Fe9+T,Fe9+S,Fe9+AS,Fe11+1,Fe11+2,Fe11+T,Fe11+S,Fe11+AS,O7+1,O7+2,O7+T,O7+S,O7+AS,O8+1,O8+2,O8+T,O8+S,O8+AS,Si9+1,Si9+2,Si9+T,Si9+S,Si9+AS,Si10+1,Si10+2,Si10+T,Si10+S,Si10+AS,Fe7+1,Fe7+2,Fe7+T,Fe7+S,Fe7+AS,Fe13+1,Fe13+2,Fe13+T,Fe13+S,Fe13+AS,N6+1,N6+2,N6+T,N6+S,N6+AS,N5+1,N5+2,N5+T,N5+S,N5+AS,N7+1,N7+2,N7+T,N7+S,N7+AS,Ne6+1,Ne6+2,Ne6+T,Ne6+S,Ne6+AS,Ne7+1,Ne7+2,Ne7+T,Ne7+S,Ne7+AS,Ne8+1,Ne8+2,Ne8+T,Ne8+S,Ne8+AS,Mg6+1,Mg6+2,Mg6+T,Mg6+S,Mg6+AS,Mg7+1,Mg7+2,Mg7+T,Mg7+S,Mg7+AS,Mg8+1,Mg8+2,Mg8+T,Mg8+S,Mg8+AS,Mg9+1,Mg9+2,Mg9+T,Mg9+S,Mg9+AS,Mg10+1,Mg10+2,Mg10+T,Mg10+S,Mg10+AS,S7+1,S7+2,S7+T,S7+S,S7+AS,S8+1,S8+2,S8+T,S8+S,S8+AS,S9+1,S9+2,S9+T,S9+S,S9+AS,S10+1,S10+2,S10+T,S10+S,S10+AS,Ca9+1,Ca9+2,Ca9+T,Ca9+S,Ca9+AS,Ca10+1,Ca10+2,Ca10+T,Ca10+S,Ca10+AS,Ca11+1,Ca11+2,Ca11+T,Ca11+S,Ca11+AS,Ca12+1,Ca12+2,Ca12+T,Ca12+S,Ca12+AS,Ca8+1,Ca8+2,Ca8+T,Ca8+S,Ca8+AS,S6+1,S6+2,S6+T,S6+S,S6+AS,Ne5+1,Ne5+2,Ne5+T,Ne5+S,Ne5+AS,O5+1,O5+2,O5+T,O5+S,O5+AS,N4+1,N4+2,N4+T,N4+S,N4+AS,Ne9+1,Ne9+2,Ne9+T,Ne9+S,Ne9+AS,Mg4+1,Mg4+2,Mg4+T,Mg4+S,Mg4+AS,Mg5+1,Mg5+2,Mg5+T,Mg5+S,Mg5+AS,Si5+1,Si5+2,Si5+T,Si5+S,Si5+AS,Si6+1,Si6+2,Si6+T,Si6+S,Si6+AS,Si11+1,Si11+2,Si11+T,Si11+S,Si11+AS,Si12+1,Si12+2,Si12+T,Si12+S,Si12+AS,S11+1,S11+2,S11+T,S11+S,S11+AS,S12+1,S12+2,S12+T,S12+S,S12+AS,S13+1,S13+2,S13+T,S13+S,S13+AS,Fe6+1,Fe6+2,Fe6+T,Fe6+S,Fe6+AS,Mg11+1,Mg11+2,Mg11+T,Mg11+S,Mg11+AS
86.636,50.82,18.35,100.0,73.92,60.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.48,92.18,100.0,71.26,58.7,,59.3,47.21,100.0,71.87,59.21,71.58,63.06,100.0,74.14,61.11,81.8,91.53,100.0,73.48,60.55,85.26,94.06,100.0,74.07,61.04,87.73,95.59,100.0,74.46,61.37,88.06,95.45,100.0,73.91,60.91,92.39,97.06,100.0,72.94,60.1,93.95,98.02,100.0,73.37,60.46,89.02,93.77,100.0,71.83,59.17,0.0,0.0,0.0,0.0,0.0,90.25,96.74,100.0,74.27,61.21,91.96,97.61,100.0,74.54,61.44,95.14,98.64,100.0,73.71,60.75,0.0,0.0,0.0,0.0,0.0,85.64,90.16,100.0,70.53,58.09,0.0,0.0,0.0,0.0,0.0,89.49,96.35,100.0,74.18,61.14,86.92,94.74,100.0,73.73,60.77,91.32,97.32,100.0,74.5,61.41,88.78,95.45,100.0,73.38,60.47,90.92,96.83,100.0,73.81,60.83,92.53,97.72,100.0,74.14,61.1,85.29,92.89,100.0,72.87,60.04,88.2,95.07,100.0,73.38,60.47,90.44,96.53,100.0,73.76,60.78,92.18,97.52,100.0,74.05,61.03,0.0,0.0,0.0,0.0,0.0,92.56,96.89,100.0,72.52,59.75,93.85,97.8,100.0,73.01,60.16,94.89,98.42,100.0,73.38,60.47,0.0,0.0,0.0,0.0,0.0,95.19,98.3,100.0,72.74,59.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.26,97.64,100.0,72.29,59.56,90.98,95.57,100.0,71.88,59.21,85.82,93.22,100.0,72.78,59.97,85.19,93.46,100.0,73.41,60.49,83.26,92.0,100.0,73.07,60.21,93.76,98.31,100.0,74.39,61.32,76.22,84.36,100.0,71.12,58.58,81.41,89.54,100.0,72.17,59.46,87.88,93.36,100.0,71.56,58.95,90.39,95.59,100.0,72.37,59.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.35,87.62,100.0,69.56,57.28,0.0,0.0,0.0,0.0,0.0
75.049,51.67,19.31,100.0,74.38,61.29,88.95,93.71,100.0,72.53,59.75,0.0,0.0,0.0,0.0,0.0,85.96,90.51,100.0,71.37,58.78,57.03,44.07,100.0,72.06,59.36,69.97,61.09,100.0,74.63,61.51,79.96,90.01,100.0,73.88,60.88,83.59,92.9,100.0,74.55,61.44,86.27,94.71,100.0,74.99,61.81,86.34,94.3,100.0,74.37,61.29,90.97,96.04,100.0,73.28,60.37,92.67,97.24,100.0,73.77,60.78,87.57,92.28,100.0,72.02,59.32,0.0,0.0,0.0,0.0,0.0,88.71,95.85,100.0,74.78,61.63,90.56,96.91,100.0,75.08,61.89,94.02,98.06,100.0,74.15,61.1,95.09,98.62,100.0,74.45,61.36,84.02,88.35,100.0,70.55,58.09,0.0,0.0,0.0,0.0,0.0,87.97,95.43,100.0,74.68,61.55,85.15,93.49,100.0,74.17,61.12,90.03,96.66,100.0,75.04,61.85,87.02,94.18,100.0,73.77,60.79,89.41,95.88,100.0,74.26,61.2,91.22,97.01,100.0,74.63,61.51,82.98,90.96,100.0,73.2,60.31,86.14,93.56,100.0,73.77,60.78,88.61,95.35,100.0,74.2,61.14,90.55,96.6,100.0,74.53,61.42,92.11,97.48,100.0,74.8,61.65,91.44,95.97,100.0,72.8,59.98,92.79,97.07,100.0,73.35,60.43,93.91,97.84,100.0,73.78,60.79,94.84,98.39,100.0,74.12,61.08,94.32,97.69,100.0,73.05,60.19,95.15,98.27,100.0,73.47,60.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.35,96.9,100.0,72.54,59.75,89.79,94.43,100.0,72.07,59.36,83.85,91.53,100.0,73.09,60.22,83.36,92.01,100.0,73.81,60.82,81.31,90.34,100.0,73.41,60.49,92.61,97.76,100.0,74.92,61.75,73.51,81.4,100.0,71.21,58.65,78.89,87.12,100.0,72.4,59.64,86.35,91.81,100.0,71.72,59.07,88.87,94.29,100.0,72.63,59.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.56,85.71,100.0,69.45,57.17,0.0,0.0,0.0,0.0,0.0
65.011,52.12,20.14,100.0,74.85,61.68,87.55,92.25,100.0,72.77,59.94,0.0,0.0,0.0,0.0,0.0,84.42,88.79,100.0,71.47,58.85,54.85,40.98,100.0,72.24,59.49,68.28,59.0,100.0,75.14,61.92,78.11,88.35,100.0,74.3,61.22,81.89,91.6,100.0,75.05,61.85,84.73,93.7,100.0,75.55,62.27,84.61,93.02,100.0,74.85,61.68,89.52,94.86,100.0,73.61,60.65,91.32,96.3,100.0,74.16,61.11,86.12,90.68,100.0,72.19,59.46,88.8,93.56,100.0,73.25,60.34,87.08,94.81,100.0,75.31,62.06,89.1,96.08,100.0,75.65,62.35,92.8,97.33,100.0,74.59,61.47,94.01,98.05,100.0,74.94,61.76,82.34,86.52,100.0,70.53,58.07,0.0,0.0,0.0,0.0,0.0,86.36,94.36,100.0,75.19,61.97,83.35,92.08,100.0,74.62,61.49,88.64,95.85,100.0,75.6,62.31,85.2,92.7,100.0,74.17,61.11,87.78,94.75,100.0,74.72,61.58,89.79,96.14,100.0,75.14,61.92,80.62,88.8,100.0,73.52,60.57,83.98,91.82,100.0,74.17,61.11,86.66,93.96,100.0,74.65,61.51,88.8,95.48,100.0,75.03,61.83,90.53,96.58,100.0,75.33,62.08,90.3,94.94,100.0,73.07,60.19,91.71,96.21,100.0,73.69,60.71,92.9,97.14,100.0,74.18,61.12,93.9,97.83,100.0,74.56,61.44,93.44,96.98,100.0,73.36,60.43,94.31,97.68,100.0,73.83,60.82,95.06,98.21,100.0,74.21,61.14,0.0,0.0,0.0,0.0,0.0,92.45,96.07,100.0,72.78,59.94,88.62,93.2,100.0,72.25,59.5,81.84,89.66,100.0,73.4,60.47,81.57,90.46,100.0,74.21,61.14,79.39,88.55,100.0,73.77,60.78,91.36,97.09,100.0,75.46,62.2,70.81,78.34,100.0,71.29,58.7,76.35,84.5,100.0,72.63,59.82,84.93,90.22,100.0,71.85,59.17,87.39,92.87,100.0,72.88,60.03,94.98,98.56,100.0,75.22,61.99,0.0,0.0,0.0,0.0,0.0,94.74,98.34,100.0,74.88,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.73,83.85,100.0,68.93,56.67,91.94,97.39,100.0,75.58,62.29
56.316,52.24,20.82,100.0,75.34,62.08,86.15,90.72,100.0,73.0,60.12,88.6,93.35,100.0,73.99,60.95,82.83,87.05,100.0,71.53,58.89,52.79,37.97,99.99,72.4,59.62,66.5,56.74,100.0,75.66,62.35,76.32,86.61,100.0,74.72,61.56,80.18,90.2,100.0,75.56,62.26,83.16,92.58,100.0,76.12,62.74,82.9,91.63,100.0,75.33,62.08,88.09,93.57,100.0,73.95,60.91,89.94,95.22,100.0,74.57,61.43,84.64,89.04,100.0,72.35,59.58,87.45,92.15,100.0,73.54,60.57,85.45,93.66,100.0,75.85,62.51,87.56,95.13,100.0,76.23,62.83,91.51,96.44,100.0,75.05,61.84,92.83,97.35,100.0,75.44,62.16,80.62,84.74,100.0,70.48,58.01,0.0,0.0,0.0,0.0,0.0,84.7,93.14,100.0,75.72,62.4,81.55,90.55,100.0,75.08,61.86,87.16,94.9,100.0,76.18,62.79,83.34,91.07,100.0,74.58,61.44,86.1,93.45,100.0,75.2,61.96,88.27,95.09,100.0,75.66,62.35,78.24,86.47,100.0,73.85,60.83,81.76,89.87,100.0,74.57,61.44,84.62,92.35,100.0,75.11,61.89,86.94,94.16,100.0,75.54,62.25,88.84,95.51,100.0,75.88,62.53,89.18,93.81,100.0,73.34,60.41,90.63,95.25,100.0,74.04,60.99,91.86,96.34,100.0,74.58,61.44,92.92,97.16,100.0,75.01,61.81,92.58,96.19,100.0,73.66,60.67,93.46,96.99,100.0,74.19,61.11,94.24,97.63,100.0,74.62,61.47,94.94,98.13,100.0,74.97,61.78,91.59,95.17,100.0,73.0,60.12,87.48,91.92,100.0,72.41,59.63,79.86,87.66,100.0,73.71,60.72,79.86,88.83,100.0,74.62,61.48,77.55,86.68,100.0,74.12,61.06,90.0,96.27,100.0,76.03,62.66,68.13,75.26,100.0,71.33,58.72,73.84,81.77,100.0,72.84,59.99,83.62,88.66,100.0,71.96,59.25,85.98,91.4,100.0,73.12,60.22,93.92,98.0,100.0,75.75,62.43,94.83,98.49,100.0,76.02,62.65,93.83,97.79,100.0,75.37,62.11,94.61,98.26,100.0,75.67,62.35,0.0,0.0,0.0,0.0,0.0,77.89,82.07,100.0,68.25,56.03,90.41,96.51,100.0,76.15,62.76
48.784,52.1,21.35,99.99,75.97,62.6,84.74,89.15,100.0,73.26,60.33,87.3,91.98,100.0,74.4,61.28,81.21,85.34,100.0,71.55,58.89,50.86,35.12,99.99,72.56,59.74,64.71,54.4,100.0,76.35,62.91,74.6,84.82,100.0,75.25,61.99,78.49,88.7,100.0,76.23,62.82,81.57,91.35,100.0,76.89,63.36,81.25,90.16,100.0,75.97,62.6,86.73,92.21,100.0,74.36,61.24,88.58,94.02,100.0,75.08,61.85,83.13,87.38,100.0,72.5,59.69,86.1,90.67,100.0,73.88,60.85,83.83,92.4,100.0,76.57,63.1,86.01,94.06,100.0,77.02,63.47,90.21,95.43,100.0,75.64,62.32,91.6,96.51,100.0,76.09,62.7,78.9,83.02,100.0,69.77,57.33,88.36,93.1,100.0,74.84,61.65,83.02,91.8,100.0,76.42,62.97,79.78,88.92,100.0,75.67,62.35,85.61,93.83,100.0,76.95,63.42,81.48,89.3,100.0,75.09,61.86,84.36,91.98,100.0,75.81,62.46,86.68,93.91,100.0,76.35,62.92,75.88,84.01,100.0,74.24,61.15,79.54,87.76,100.0,75.08,61.85,82.53,90.56,100.0,75.71,62.38,85.01,92.67,100.0,76.21,62.79,87.06,94.26,100.0,76.6,63.12,88.1,92.62,100.0,73.65,60.65,89.56,94.2,100.0,74.46,61.33,90.84,95.44,100.0,75.09,61.86,91.93,96.39,100.0,75.6,62.28,91.75,95.34,100.0,74.02,60.97,92.63,96.24,100.0,74.63,61.48,93.43,96.97,100.0,75.13,61.9,94.15,97.56,100.0,75.55,62.25,90.74,94.24,100.0,73.26,60.33,86.35,90.62,100.0,72.57,59.75,77.92,85.57,100.0,74.08,61.02,78.26,87.17,100.0,75.13,61.9,75.84,84.8,100.0,74.56,61.41,88.57,95.3,100.0,76.77,63.27,65.5,72.22,100.0,71.32,58.7,71.36,78.98,100.0,73.07,60.17,82.42,87.19,100.0,72.05,59.31,84.68,89.93,100.0,73.39,60.44,92.79,97.32,100.0,76.46,63.01,93.8,97.93,100.0,76.77,63.26,92.89,97.14,100.0,76.01,62.63,93.72,97.71,100.0,76.35,62.92,94.45,98.17,100.0,76.65,63.16,76.1,80.41,100.0,67.44,55.27,88.78,95.47,100.0,76.92,63.39
42.259,51.7,21.72,99.99,76.65,63.15,83.31,87.57,100.0,73.46,60.48,86.0,90.56,100.0,74.8,61.61,79.59,83.71,100.0,71.09,58.44,49.05,32.4,99.89,72.62,59.79,62.9,52.05,100.0,77.1,63.53,72.99,83.02,100.0,75.8,62.45,76.85,87.15,100.0,76.96,63.41,80.01,90.05,100.0,77.73,64.06,79.69,88.66,100.0,76.65,63.16,85.46,90.83,100.0,74.75,61.56,87.28,92.77,100.0,75.6,62.28,81.61,85.76,100.0,72.56,59.73,84.75,89.17,100.0,74.19,61.1,82.26,91.07,100.0,77.36,63.74,84.48,92.91,100.0,77.89,64.19,88.91,94.32,100.0,76.26,62.83,90.36,95.56,100.0,76.79,63.27,77.2,81.4,100.0,69.11,56.71,87.11,91.77,100.0,75.32,62.05,81.36,90.38,100.0,77.18,63.6,78.09,87.24,100.0,76.3,62.86,84.06,92.65,100.0,77.81,64.13,79.66,87.45,100.0,75.61,62.29,82.62,90.4,100.0,76.46,63.0,85.06,92.59,100.0,77.1,63.53,73.58,81.48,100.0,74.62,61.45,77.33,85.53,100.0,75.61,62.28,80.44,88.63,100.0,76.35,62.9,83.04,91.01,100.0,76.93,63.39,85.24,92.85,100.0,77.39,63.78,87.05,91.42,100.0,73.92,60.87,88.53,93.11,100.0,74.87,61.67,89.82,94.46,100.0,75.62,62.29,90.96,95.55,100.0,76.21,62.79,90.95,94.47,100.0,74.35,61.23,91.84,95.45,100.0,75.08,61.84,92.65,96.25,100.0,75.67,62.33,93.37,96.92,100.0,76.16,62.74,89.89,93.29,100.0,73.45,60.48,85.24,89.32,100.0,72.64,59.8,76.07,83.46,100.0,74.43,61.29,76.8,85.52,100.0,75.67,62.33,74.28,82.95,100.0,74.99,61.76,87.07,94.21,100.0,77.6,63.95,62.91,69.31,100.0,70.72,58.12,68.94,76.18,100.0,73.24,60.3,81.33,85.85,100.0,72.03,59.29,83.49,88.51,100.0,73.61,60.61,91.62,96.52,100.0,77.23,63.64,92.71,97.27,100.0,77.59,63.94,91.94,96.4,100.0,76.7,63.19,92.82,97.09,100.0,77.11,63.54,93.59,97.63,100.0,77.45,63.82,74.4,78.92,99.99,66.48,54.39,87.09,94.27,100.0,77.78,64.1
36.607,51.12,21.94,99.92,77.28,63.67,81.88,86.03,100.0,73.55,60.55,84.72,89.13,100.0,75.12,61.87,78.0,82.16,100.0,70.56,57.94,47.33,29.87,99.23,72.37,59.53,61.14,49.69,100.0,77.81,64.11,71.51,81.22,100.0,76.29,62.84,75.29,85.56,100.0,77.64,63.97,78.47,88.69,100.0,78.55,64.73,78.25,87.16,100.0,77.28,63.67,84.31,89.49,100.0,75.06,61.81,86.06,91.49,100.0,76.05,62.65,80.09,84.2,100.0,72.27,59.44,83.41,87.68,100.0,74.41,61.27,80.77,89.7,100.0,78.11,64.36,83.0,91.71,100.0,78.73,64.88,87.67,93.16,100.0,76.83,63.29,89.13,94.52,100.0,77.45,63.81,75.57,79.93,100.0,68.35,56.0,85.87,90.42,100.0,75.73,62.38,79.76,88.91,100.0,77.91,64.19,76.52,85.57,100.0,76.88,63.33,82.51,91.38,100.0,78.64,64.81,77.9,85.55,100.0,76.07,62.66,80.92,88.74,100.0,77.07,63.49,83.44,91.16,100.0,77.81,64.12,71.34,78.95,100.0,74.91,61.69,75.17,83.24,100.0,76.06,62.65,78.37,86.6,100.0,76.93,63.38,81.08,89.23,100.0,77.61,63.95,83.39,91.31,100.0,78.16,64.4,86.01,90.22,100.0,74.08,61.0,87.54,91.99,100.0,75.2,61.93,88.85,93.45,100.0,76.07,62.66,90.0,94.64,100.0,76.77,63.24,90.15,93.58,100.0,74.6,61.43,91.09,94.62,100.0,75.44,62.13,91.89,95.5,100.0,76.13,62.71,92.63,96.23,100.0,76.71,63.19,89.04,92.33,100.0,73.54,60.55,84.13,88.07,100.0,72.4,59.56,74.31,81.38,100.0,74.68,61.5,75.47,83.91,100.0,76.13,62.71,72.9,81.17,100.0,75.34,62.04,85.56,93.01,100.0,78.4,64.6,60.41,66.55,100.0,70.15,57.58,66.57,73.45,100.0,73.29,60.34,80.32,84.65,100.0,71.46,58.73,82.41,87.18,100.0,73.73,60.7,90.44,95.62,100.0,77.96,64.24,91.59,96.5,100.0,78.38,64.59,91.02,95.6,100.0,77.34,63.72,91.92,96.39,100.0,77.82,64.12,92.73,97.02,100.0,78.22,64.46,72.82,77.6,99.99,65.4,53.4,85.36,92.95,100.0,78.6,64.77
31.711,50.44,22.03,99.49,77.85,64.14,80.45,84.57,100.0,73.38,60.38,83.45,87.72,100.0,75.35,62.05,76.46,80.74,100.0,69.94,57.35,45.69,27.54,96.87,71.96,59.13,59.43,47.39,100.0,78.47,64.65,70.16,79.48,100.0,76.71,63.18,73.83,83.97,100.0,78.28,64.49,77.0,87.3,100.0,79.33,65.37,76.93,85.68,100.0,77.86,64.15,83.25,88.22,100.0,75.27,61.99,84.94,90.23,100.0,76.43,62.95,78.6,82.74,100.0,71.85,59.03,82.06,86.22,100.0,74.52,61.35,79.37,88.34,100.0,78.82,64.94,81.59,90.47,100.0,79.54,65.54,86.51,91.97,100.0,77.33,63.7,87.96,93.44,100.0,78.05,64.31,74.05,78.63,99.99,67.48,55.19,84.66,89.06,100.0,76.06,62.64,78.24,87.4,100.0,78.58,64.75,75.09,83.93,100.0,77.39,63.75,81.01,90.07,100.0,79.44,65.46,76.24,83.66,100.0,76.45,62.97,79.27,87.05,100.0,77.61,63.93,81.86,89.67,100.0,78.47,64.66,69.17,76.44,100.0,75.1,61.84,73.1,80.94,100.0,76.45,62.96,76.37,84.52,100.0,77.46,63.81,79.16,87.38,100.0,78.24,64.46,81.55,89.67,100.0,78.87,64.99,85.0,89.05,100.0,74.14,61.04,86.58,90.89,100.0,75.44,62.13,87.92,92.42,100.0,76.45,62.97,89.08,93.69,100.0,77.26,63.65,89.36,92.69,100.0,74.74,61.54,90.34,93.79,100.0,75.72,62.36,91.19,94.73,100.0,76.52,63.03,91.91,95.52,100.0,77.19,63.59,88.18,91.39,100.0,73.37,60.37,83.03,86.88,100.0,72.0,59.16,72.64,79.38,100.0,74.84,61.62,74.27,82.34,100.0,76.52,63.03,71.67,79.49,100.0,75.6,62.25,84.06,91.72,100.0,79.15,65.22,58.03,64.02,100.0,69.5,56.97,64.28,70.84,100.0,73.02,60.06,79.38,83.6,100.0,70.94,58.23,81.43,85.97,100.0,73.73,60.7,89.28,94.65,100.0,78.65,64.8,90.48,95.65,100.0,79.14,65.21,90.12,94.75,100.0,77.92,64.2,91.05,95.63,100.0,78.48,64.66,91.88,96.35,100.0,78.95,65.05,71.38,76.46,99.99,64.19,52.3,83.62,91.51,100.0,79.39,65.42
27.47,49.68,22.0,97.96,78.35,64.55,79.07,83.18,100.0,73.06,60.05,82.19,86.35,100.0,75.48,62.15,75.02,79.45,100.0,69.24,56.7,44.12,25.43,91.56,71.48,58.67,57.82,45.17,100.0,79.07,65.14,68.93,77.81,100.0,77.04,63.45,72.49,82.43,100.0,78.85,64.96,75.62,85.9,100.0,80.06,65.97,75.74,84.25,100.0,78.37,64.56,82.3,87.04,100.0,75.39,62.08,83.92,89.02,100.0,76.73,63.19,77.17,81.38,100.0,71.36,58.56,80.73,84.84,100.0,74.52,61.35,78.1,86.99,100.0,79.47,65.48,80.26,89.22,100.0,80.3,66.17,85.44,90.8,100.0,77.76,64.06,86.86,92.34,100.0,78.6,64.75,72.65,77.47,99.99,66.51,54.3,83.46,87.73,100.0,76.3,62.83,76.84,85.93,100.0,79.2,65.26,73.8,82.35,100.0,77.83,64.11,79.58,88.74,100.0,80.19,66.08,74.68,81.82,100.0,76.75,63.21,77.71,85.34,100.0,78.08,64.32,80.33,88.15,100.0,79.08,65.15,67.08,74.02,100.0,75.2,61.91,71.09,78.67,100.0,76.74,63.21,74.44,82.43,100.0,77.91,64.18,77.29,85.49,100.0,78.81,64.93,79.76,87.97,100.0,79.54,65.54,84.01,87.94,100.0,73.92,60.81,85.66,89.8,100.0,75.58,62.24,87.03,91.4,100.0,76.75,63.21,88.21,92.74,100.0,77.68,63.99,88.6,91.82,100.0,74.77,61.56,89.61,92.97,100.0,75.9,62.5,90.49,93.95,100.0,76.83,63.27,91.25,94.8,100.0,77.6,63.92,87.31,90.47,100.0,73.05,60.04,81.94,85.75,100.0,71.52,58.7,71.08,77.49,100.0,74.89,61.66,73.18,80.87,100.0,76.83,63.28,70.57,77.94,100.0,75.76,62.38,82.59,90.37,100.0,79.86,65.8,55.8,61.73,99.99,68.76,56.28,62.09,68.38,100.0,72.66,59.7,78.51,82.67,100.0,70.35,57.67,80.53,84.89,100.0,73.35,60.3,88.18,93.65,100.0,79.28,65.32,89.39,94.75,100.0,79.84,65.79,89.25,93.88,100.0,78.45,64.62,90.2,94.84,100.0,79.08,65.16,91.06,95.64,100.0,79.62,65.6,70.1,75.48,99.99,62.85,51.09,81.9,89.99,100.0,80.13,66.03
23.796,48.88,21.86,94.42,78.75,64.87,77.73,81.91,100.0,72.65,59.65,80.95,85.07,100.0,75.49,62.15,73.69,78.33,99.99,68.44,55.96,42.63,23.52,83.1,70.92,58.13,56.29,43.03,100.0,79.56,65.55,67.82,76.24,100.0,77.26,63.63,71.27,80.92,100.0,79.32,65.34,74.33,84.52,100.0,80.69,66.49,74.67,82.88,100.0,78.77,64.89,81.43,85.98,100.0,75.39,62.07,83.01,87.92,100.0,76.9,63.33,75.81,80.15,100.0,70.78,58.01,79.44,83.55,100.0,74.18,60.99,76.94,85.69,100.0,80.03,65.93,79.05,88.01,100.0,80.97,66.72,84.48,89.69,100.0,78.08,64.32,85.86,91.27,100.0,79.03,65.1,71.39,76.47,99.99,65.43,53.32,82.28,86.46,100.0,76.42,62.92,75.57,84.49,100.0,79.72,65.68,72.68,80.87,100.0,78.15,64.37,78.25,87.41,100.0,80.84,66.61,73.21,80.06,100.0,76.93,63.36,76.25,83.67,100.0,78.44,64.62,78.88,86.63,100.0,79.58,65.56,65.07,71.73,100.0,75.17,61.88,69.18,76.46,100.0,76.93,63.35,72.6,80.38,100.0,78.25,64.45,75.5,83.6,100.0,79.28,65.31,78.03,86.25,100.0,80.1,66.0,83.03,86.89,100.0,73.6,60.48,84.76,88.77,100.0,75.61,62.25,86.17,90.4,100.0,76.93,63.35,87.38,91.8,100.0,77.99,64.24,87.79,90.98,100.0,74.51,61.28,88.9,92.17,100.0,75.97,62.55,89.81,93.19,100.0,77.02,63.43,90.6,94.08,100.0,77.89,64.16,86.4,89.58,100.0,72.63,59.64,80.88,84.72,100.0,70.95,58.16,69.62,75.76,100.0,74.67,61.42,72.19,79.47,100.0,77.02,63.43,69.6,76.55,100.0,75.8,62.41,81.17,89.0,100.0,80.46,66.3,53.74,59.68,99.99,67.92,55.5,60.0,66.1,100.0,72.21,59.27,77.69,81.86,99.99,69.66,57.03,79.7,83.94,100.0,72.97,59.93,87.15,92.64,100.0,79.8,65.75,88.36,93.82,100.0,80.45,66.29,88.44,93.0,100.0,78.86,64.96,89.39,94.02,100.0,79.58,65.56,90.26,94.9,100.0,80.19,66.07,68.96,74.63,99.99,61.39,49.78,80.24,88.44,100.0,80.78,66.56
